sim_time, my_robot/cart?world_linear_acceleration/x
6.001, 4.03208e-08
6.002, -3.18033e-08
6.003, -5.72477e-08
6.004, 1.51332e-08
6.005, 4.02643e-08
6.006, -3.18714e-08
6.007, -5.73121e-08
6.008, 1.50725e-08
6.009, 4.0192e-08
6.01, -3.19246e-08
6.011, -5.73809e-08
6.012, 1.50037e-08
6.013, 4.01269e-08
6.014, -3.19899e-08
6.015, -5.74462e-08
6.016, 1.49382e-08
6.017, 4.00651e-08
6.018, -3.20595e-08
6.019, -5.75121e-08
6.02, 1.48798e-08
6.021, 3.99951e-08
6.022, -3.21257e-08
6.023, -5.75823e-08
6.024, 1.48095e-08
6.025, 3.99323e-08
6.026, -3.21925e-08
6.027, -5.76531e-08
6.028, 1.47463e-08
6.029, 3.98613e-08
6.03, -3.22559e-08
6.031, -5.77128e-08
6.032, 1.46749e-08
6.033, 3.97936e-08
6.034, -3.23237e-08
6.035, -5.77846e-08
6.036, 1.46069e-08
6.037, 3.97255e-08
6.038, -3.23959e-08
6.039, -5.78492e-08
6.04, 1.45383e-08
6.041, 3.96606e-08
6.042, -3.24686e-08
6.043, -5.79181e-08
6.044, 1.44692e-08
6.045, 3.95914e-08
6.046, -3.25379e-08
6.047, -5.79915e-08
6.048, 1.44034e-08
6.049, 3.95139e-08
6.05, -3.26078e-08
6.051, -5.80577e-08
6.052, 1.43333e-08
6.053, 3.94513e-08
6.054, -3.26744e-08
6.055, -5.81282e-08
6.056, 1.42587e-08
6.057, 3.93766e-08
6.058, -3.27492e-08
6.059, -5.81993e-08
6.06, 1.41875e-08
6.061, 3.93091e-08
6.062, -3.28169e-08
6.063, -5.82748e-08
6.064, 1.41195e-08
6.065, 3.92333e-08
6.066, -3.28928e-08
6.067, -5.83393e-08
6.068, 1.40395e-08
6.069, 3.91609e-08
6.07, -3.29577e-08
6.071, -5.84198e-08
6.072, 1.39666e-08
6.073, 3.90879e-08
6.074, -3.30347e-08
6.075, -5.84892e-08
6.076, 1.39009e-08
6.077, 3.90143e-08
6.078, -3.31084e-08
6.079, -5.85631e-08
6.08, 1.3823e-08
6.081, 3.89363e-08
6.082, -3.31789e-08
6.083, -5.86414e-08
6.084, 1.37523e-08
6.085, 3.88616e-08
6.086, -3.32537e-08
6.087, -5.87164e-08
6.088, 1.36733e-08
6.089, 3.87939e-08
6.09, -3.33292e-08
6.091, -5.87958e-08
6.092, 1.36053e-08
6.093, 3.87142e-08
6.094, -3.34052e-08
6.095, -5.88681e-08
6.096, 1.35213e-08
6.097, 3.86378e-08
6.098, -3.34894e-08
6.099, -5.89372e-08
6.1, 1.34406e-08
6.101, 3.85646e-08
6.102, -3.35666e-08
6.103, -5.90183e-08
6.104, 1.33708e-08
6.105, 3.84831e-08
6.106, -3.36482e-08
6.107, -5.90962e-08
6.108, 1.32889e-08
6.109, 3.84049e-08
6.11, -3.37189e-08
6.111, -5.91747e-08
6.112, 1.3214e-08
6.113, 3.833e-08
6.114, -3.38017e-08
6.115, -5.92539e-08
6.116, 1.31348e-08
6.117, 3.82467e-08
6.118, -3.38813e-08
6.119, -5.93336e-08
6.12, 1.30549e-08
6.121, 3.81667e-08
6.122, -3.39615e-08
6.123, -5.94139e-08
6.124, 1.29667e-08
6.125, 3.80861e-08
6.126, -3.40346e-08
6.127, -5.94949e-08
6.128, 1.28895e-08
6.129, 3.8001e-08
6.13, -3.4116e-08
6.131, -5.95726e-08
6.132, 1.28078e-08
6.133, 3.79191e-08
6.134, -3.42019e-08
6.135, -5.96586e-08
6.136, 1.27216e-08
6.137, 3.78443e-08
6.138, -3.42884e-08
6.139, -5.97414e-08
6.14, 1.26463e-08
6.141, 3.77573e-08
6.142, -3.43678e-08
6.143, -5.98287e-08
6.144, 1.25627e-08
6.145, 3.76735e-08
6.146, -3.44479e-08
6.147, -5.99128e-08
6.148, 1.24784e-08
6.149, 3.75891e-08
6.15, -3.45363e-08
6.151, -5.99975e-08
6.152, 1.23935e-08
6.153, 3.75002e-08
6.154, -3.46254e-08
6.155, -6.00791e-08
6.156, 1.2308e-08
6.157, 3.74183e-08
6.158, -3.47112e-08
6.159, -6.01651e-08
6.16, 1.22218e-08
6.161, 3.7332e-08
6.162, -3.47939e-08
6.163, -6.02518e-08
6.164, 1.21349e-08
6.165, 3.72449e-08
6.166, -3.48811e-08
6.167, -6.03392e-08
6.168, 1.20436e-08
6.169, 3.71573e-08
6.17, -3.49728e-08
6.171, -6.04272e-08
6.172, 1.19592e-08
6.173, 3.70689e-08
6.174, -3.50575e-08
6.175, -6.05159e-08
6.176, 1.18626e-08
6.177, 3.69799e-08
6.178, -3.51429e-08
6.179, -6.06053e-08
6.18, 1.17731e-08
6.181, 3.68901e-08
6.182, -3.52366e-08
6.183, -6.06915e-08
6.184, 1.1679e-08
6.185, 3.68036e-08
6.186, -3.53272e-08
6.187, -6.07899e-08
6.188, 1.16034e-08
6.189, 3.67086e-08
6.19, -3.54185e-08
6.191, -6.08814e-08
6.192, 1.15042e-08
6.193, 3.66168e-08
6.194, -3.55066e-08
6.195, -6.09735e-08
6.196, 1.14157e-08
6.197, 3.65205e-08
6.198, -3.55993e-08
6.199, -6.10702e-08
6.2, 1.13226e-08
6.201, 3.64311e-08
6.202, -3.57042e-08
6.203, -6.11523e-08
6.204, 1.12251e-08
6.205, 3.63372e-08
6.206, -3.57906e-08
6.207, -6.12542e-08
6.208, 1.11344e-08
6.209, 3.62425e-08
6.21, -3.58854e-08
6.211, -6.13416e-08
6.212, 1.10392e-08
6.213, 3.61472e-08
6.214, -3.5981e-08
6.215, -6.14411e-08
6.216, 1.09395e-08
6.217, 3.60473e-08
6.218, -3.60773e-08
6.219, -6.15376e-08
6.22, 1.0839e-08
6.221, 3.59581e-08
6.222, -3.61781e-08
6.223, -6.1631e-08
6.224, 1.07416e-08
6.225, 3.58567e-08
6.226, -3.62682e-08
6.227, -6.17327e-08
6.228, 1.06473e-08
6.229, 3.57584e-08
6.23, -3.63705e-08
6.231, -6.18314e-08
6.232, 1.05484e-08
6.233, 3.56593e-08
6.234, -3.64698e-08
6.235, -6.19309e-08
6.236, 1.04526e-08
6.237, 3.55633e-08
6.238, -3.65698e-08
6.239, -6.20349e-08
6.24, 1.03484e-08
6.241, 3.5455e-08
6.242, -3.66668e-08
6.243, -6.21359e-08
6.244, 1.02472e-08
6.245, 3.53537e-08
6.246, -3.67683e-08
6.247, -6.22338e-08
6.248, 1.01491e-08
6.249, 3.52554e-08
6.25, -3.68745e-08
6.251, -6.23402e-08
6.252, 1.00426e-08
6.253, 3.51525e-08
6.254, -3.69776e-08
6.255, -6.24397e-08
6.256, 9.93905e-09
6.257, 3.50487e-08
6.258, -3.70815e-08
6.259, -6.25399e-08
6.26, 9.83474e-09
6.261, 3.49442e-08
6.262, -3.71862e-08
6.263, -6.26487e-08
6.264, 9.72964e-09
6.265, 3.48351e-08
6.266, -3.72917e-08
6.267, -6.27544e-08
6.268, 9.6199e-09
6.269, 3.47328e-08
6.27, -3.73942e-08
6.271, -6.28609e-08
6.272, 9.51317e-09
6.273, 3.46297e-08
6.274, -3.75052e-08
6.275, -6.29682e-08
6.276, 9.40948e-09
6.277, 3.45182e-08
6.278, -3.76093e-08
6.279, -6.30802e-08
6.28, 9.30112e-09
6.281, 3.44096e-08
6.282, -3.77219e-08
6.283, -6.31892e-08
6.284, 9.19961e-09
6.285, 3.43002e-08
6.286, -3.78353e-08
6.287, -6.32952e-08
6.288, 9.08191e-09
6.289, 3.419e-08
6.29, -3.79458e-08
6.291, -6.34058e-08
6.292, 8.97488e-09
6.293, 3.4075e-08
6.294, -3.80532e-08
6.295, -6.35173e-08
6.296, 8.85933e-09
6.297, 3.39708e-08
6.298, -3.81692e-08
6.299, -6.36335e-08
6.3, 8.75443e-09
6.301, 3.3858e-08
6.302, -3.82822e-08
6.303, -6.37467e-08
6.304, 8.63333e-09
6.305, 3.37482e-08
6.306, -3.83923e-08
6.307, -6.3857e-08
6.308, 8.51519e-09
6.309, 3.36298e-08
6.31, -3.85108e-08
6.311, -6.39681e-08
6.312, 8.40001e-09
6.313, 3.35106e-08
6.314, -3.86226e-08
6.315, -6.40916e-08
6.316, 8.29163e-09
6.317, 3.33905e-08
6.318, -3.87353e-08
6.319, -6.42083e-08
6.32, 8.17469e-09
6.321, 3.3281e-08
6.322, -3.88603e-08
6.323, -6.43221e-08
6.324, 8.06068e-09
6.325, 3.31553e-08
6.326, -3.89786e-08
6.327, -6.44368e-08
6.328, 7.9381e-09
6.329, 3.30401e-08
6.33, -3.90978e-08
6.331, -6.456e-08
6.332, 7.81462e-09
6.333, 3.29203e-08
6.334, -3.92141e-08
6.335, -6.46842e-08
6.336, 7.69789e-09
6.337, 3.27995e-08
6.338, -3.93389e-08
6.339, -6.48055e-08
6.34, 7.57257e-09
6.341, 3.26777e-08
6.342, -3.94532e-08
6.343, -6.49238e-08
6.344, 7.45014e-09
6.345, 3.25551e-08
6.346, -3.95761e-08
