sim_time, my_robot/cart?world_linear_acceleration/x_1
0.001, -6.06006e-08
0.002, 6.02599e-07
0.003, 7.10673e-07
0.004, 5.37932e-07
0.005, 1.86919e-07
0.006, -1.91448e-07
0.007, -3.84684e-07
0.008, -3.40286e-07
0.009, -2.71008e-07
0.01, -2.72932e-07
0.011, -2.25079e-07
0.012, -8.54753e-08
0.013, -1.5951e-08
0.014, -6.3385e-08
0.015, -7.62862e-08
0.016, 6.13787e-09
0.017, 3.51739e-08
0.018, -3.5426e-08
0.019, -6.03071e-08
0.02, 1.54378e-08
0.021, 4.22056e-08
0.022, -2.84399e-08
0.023, -5.33559e-08
0.024, 2.10847e-08
0.025, 4.67712e-08
0.026, -2.4653e-08
0.027, -5.02817e-08
0.028, 2.30389e-08
0.029, 4.80793e-08
0.03, -2.3676e-08
0.031, -4.94545e-08
0.032, 2.34979e-08
0.033, 4.84171e-08
0.034, -2.34086e-08
0.035, -4.91519e-08
0.036, 2.36387e-08
0.037, 4.854e-08
0.038, -2.33219e-08
0.039, -4.90259e-08
0.04, 2.36704e-08
0.041, 4.8582e-08
0.042, -2.33065e-08
0.043, -4.89772e-08
0.044, 2.36652e-08
0.045, 4.86009e-08
0.046, -2.331e-08
0.047, -4.89461e-08
0.048, 2.36568e-08
0.049, 4.86127e-08
0.05, -2.33176e-08
0.051, -4.89335e-08
0.052, 2.36518e-08
0.053, 4.86177e-08
0.054, -2.33253e-08
0.055, -4.89222e-08
0.056, 2.3644e-08
0.057, 4.86287e-08
0.058, -2.33321e-08
0.059, -4.89063e-08
0.06, 2.36338e-08
0.061, 4.86345e-08
0.062, -2.33377e-08
0.063, -4.89039e-08
0.064, 2.36285e-08
0.065, 4.86395e-08
0.066, -2.33422e-08
0.067, -4.8903e-08
0.068, 2.36281e-08
0.069, 4.86436e-08
0.07, -2.3346e-08
0.071, -4.88991e-08
0.072, 2.36247e-08
0.073, 4.86469e-08
0.074, -2.33492e-08
0.075, -4.88959e-08
0.076, 2.36218e-08
0.077, 4.86536e-08
0.078, -2.33518e-08
0.079, -4.88893e-08
0.08, 2.36155e-08
0.081, 4.8652e-08
0.082, -2.33501e-08
0.083, -4.8891e-08
0.084, 2.36174e-08
0.085, 4.86539e-08
0.086, -2.33633e-08
0.087, -4.88816e-08
0.088, 2.3612e-08
0.089, 4.86555e-08
0.09, -2.33572e-08
0.091, -4.88916e-08
0.092, 2.36144e-08
0.093, 4.8657e-08
0.094, -2.33586e-08
0.095, -4.88825e-08
0.096, 2.36092e-08
0.097, 4.86582e-08
0.098, -2.33597e-08
0.099, -4.88814e-08
0.1, 2.36044e-08
0.101, 4.86593e-08
0.102, -2.33569e-08
0.103, -4.88842e-08
0.104, 2.36073e-08
0.105, 4.8664e-08
0.106, -2.33616e-08
0.107, -4.88834e-08
0.108, 2.36141e-08
0.109, 4.86573e-08
0.11, -2.33624e-08
0.111, -4.88751e-08
0.112, 2.36018e-08
0.113, 4.8662e-08
0.114, -2.33594e-08
0.115, -4.88819e-08
0.116, 2.36088e-08
0.117, 4.86627e-08
0.118, -2.33677e-08
0.119, -4.88775e-08
0.12, 2.36082e-08
0.121, 4.86632e-08
0.122, -2.33683e-08
0.123, -4.88729e-08
0.124, 2.36037e-08
0.125, 4.86676e-08
0.126, -2.33689e-08
0.127, -4.88838e-08
0.128, 2.36108e-08
0.129, 4.86643e-08
0.13, -2.33694e-08
0.131, -4.88756e-08
0.132, 2.36026e-08
0.133, 4.86648e-08
0.134, -2.33623e-08
0.135, -4.8875e-08
0.136, 2.3602e-08
0.137, 4.86654e-08
0.138, -2.33706e-08
0.139, -4.88706e-08
0.14, 2.35976e-08
0.141, 4.867e-08
0.142, -2.33635e-08
0.143, -4.88778e-08
0.144, 2.36047e-08
0.145, 4.86667e-08
0.146, -2.33717e-08
0.147, -4.88696e-08
0.148, 2.35965e-08
0.149, 4.86711e-08
0.15, -2.33723e-08
0.151, -4.88765e-08
0.152, 2.36035e-08
0.153, 4.86677e-08
0.154, -2.33729e-08
0.155, -4.88684e-08
0.156, 2.36031e-08
0.157, 4.86605e-08
0.158, -2.33694e-08
0.159, -4.8868e-08
0.16, 2.35949e-08
0.161, 4.86726e-08
0.162, -2.337e-08
0.163, -4.88751e-08
0.164, 2.35984e-08
0.165, 4.8669e-08
