sim_time, my_robot/cart?world_linear_velocity/x
6.001, -4.32876e-09
6.002, -4.35894e-09
6.003, -4.41776e-09
6.004, -4.40425e-09
6.005, -4.36242e-09
6.006, -4.39267e-09
6.007, -4.45155e-09
6.008, -4.43809e-09
6.009, -4.39633e-09
6.01, -4.42664e-09
6.011, -4.48559e-09
6.012, -4.4722e-09
6.013, -4.43051e-09
6.014, -4.46088e-09
6.015, -4.51989e-09
6.016, -4.50658e-09
6.017, -4.46494e-09
6.018, -4.49538e-09
6.019, -4.55446e-09
6.02, -4.5412e-09
6.021, -4.49964e-09
6.022, -4.53014e-09
6.023, -4.58929e-09
6.024, -4.57611e-09
6.025, -4.53461e-09
6.026, -4.56518e-09
6.027, -4.6244e-09
6.028, -4.61127e-09
6.029, -4.56984e-09
6.03, -4.60048e-09
6.031, -4.65976e-09
6.032, -4.64671e-09
6.033, -4.60534e-09
6.034, -4.63605e-09
6.035, -4.6954e-09
6.036, -4.68241e-09
6.037, -4.64112e-09
6.038, -4.67189e-09
6.039, -4.73131e-09
6.04, -4.71839e-09
6.041, -4.67717e-09
6.042, -4.70801e-09
6.043, -4.7675e-09
6.044, -4.75465e-09
6.045, -4.71349e-09
6.046, -4.74441e-09
6.047, -4.80397e-09
6.048, -4.79119e-09
6.049, -4.7501e-09
6.05, -4.78109e-09
6.051, -4.84072e-09
6.052, -4.828e-09
6.053, -4.78698e-09
6.054, -4.81804e-09
6.055, -4.87773e-09
6.056, -4.8651e-09
6.057, -4.82415e-09
6.058, -4.85528e-09
6.059, -4.91505e-09
6.06, -4.90248e-09
6.061, -4.8616e-09
6.062, -4.8928e-09
6.063, -4.95264e-09
6.064, -4.94014e-09
6.065, -4.89934e-09
6.066, -4.93061e-09
6.067, -4.99052e-09
6.068, -4.9781e-09
6.069, -4.93737e-09
6.07, -4.96871e-09
6.071, -5.0287e-09
6.072, -5.01635e-09
6.073, -4.9757e-09
6.074, -5.00711e-09
6.075, -5.06717e-09
6.076, -5.05489e-09
6.077, -5.01431e-09
6.078, -5.04579e-09
6.079, -5.10592e-09
6.08, -5.09372e-09
6.081, -5.05322e-09
6.082, -5.08478e-09
6.083, -5.14498e-09
6.084, -5.13285e-09
6.085, -5.09242e-09
6.086, -5.12406e-09
6.087, -5.18434e-09
6.088, -5.17229e-09
6.089, -5.13193e-09
6.09, -5.16364e-09
6.091, -5.224e-09
6.092, -5.21202e-09
6.093, -5.17173e-09
6.094, -5.20352e-09
6.095, -5.26395e-09
6.096, -5.25205e-09
6.097, -5.21185e-09
6.098, -5.24372e-09
6.099, -5.30422e-09
6.1, -5.2924e-09
6.101, -5.25227e-09
6.102, -5.28421e-09
6.103, -5.3448e-09
6.104, -5.33305e-09
6.105, -5.293e-09
6.106, -5.32503e-09
6.107, -5.38569e-09
6.108, -5.37402e-09
6.109, -5.33405e-09
6.11, -5.36615e-09
6.111, -5.42689e-09
6.112, -5.4153e-09
6.113, -5.3754e-09
6.114, -5.40758e-09
6.115, -5.4684e-09
6.116, -5.45689e-09
6.117, -5.41707e-09
6.118, -5.44933e-09
6.119, -5.51024e-09
6.12, -5.4988e-09
6.121, -5.45907e-09
6.122, -5.49141e-09
6.123, -5.55239e-09
6.124, -5.54104e-09
6.125, -5.50139e-09
6.126, -5.5338e-09
6.127, -5.59487e-09
6.128, -5.5836e-09
6.129, -5.54403e-09
6.13, -5.57652e-09
6.131, -5.63766e-09
6.132, -5.62648e-09
6.133, -5.58699e-09
6.134, -5.61957e-09
6.135, -5.6808e-09
6.136, -5.6697e-09
6.137, -5.63029e-09
6.138, -5.66295e-09
6.139, -5.72426e-09
6.14, -5.71324e-09
6.141, -5.67391e-09
6.142, -5.70666e-09
6.143, -5.76805e-09
6.144, -5.75711e-09
6.145, -5.71787e-09
6.146, -5.7507e-09
6.147, -5.81218e-09
6.148, -5.80132e-09
6.149, -5.76217e-09
6.15, -5.79508e-09
6.151, -5.85665e-09
6.152, -5.84587e-09
6.153, -5.80681e-09
6.154, -5.83981e-09
6.155, -5.90146e-09
6.156, -5.89077e-09
6.157, -5.85178e-09
6.158, -5.88487e-09
6.159, -5.94661e-09
6.16, -5.93601e-09
6.161, -5.89711e-09
6.162, -5.93028e-09
6.163, -5.9921e-09
6.164, -5.98159e-09
6.165, -5.94277e-09
6.166, -5.97603e-09
6.167, -6.03794e-09
6.168, -6.02752e-09
6.169, -5.98879e-09
6.17, -6.02214e-09
6.171, -6.08414e-09
6.172, -6.0738e-09
6.173, -6.03516e-09
6.174, -6.0686e-09
6.175, -6.13068e-09
