sim_time, my_robot/cart?world_linear_velocity/x_1
0.001, -6.16552e-11
0.002, 5.43675e-10
0.003, 1.25249e-09
0.004, 1.78901e-09
0.005, 1.97746e-09
0.006, 1.78768e-09
0.007, 1.40142e-09
0.008, 1.05949e-09
0.009, 7.90067e-10
0.01, 5.18769e-10
0.011, 2.92114e-10
0.012, 2.05007e-10
0.013, 1.9063e-10
0.014, 1.28873e-10
0.015, 5.10155e-11
0.016, 5.55269e-11
0.017, 9.22718e-11
0.018, 5.84702e-11
0.019, -3.40626e-12
0.02, 1.04077e-11
0.021, 5.41826e-11
0.022, 2.73656e-11
0.023, -2.75589e-11
0.024, -8.09688e-12
0.025, 4.0243e-11
0.026, 1.72122e-11
0.027, -3.46378e-11
0.028, -1.32211e-11
0.029, 3.64266e-11
0.03, 1.43725e-11
0.031, -3.66502e-11
0.032, -1.47742e-11
0.033, 3.52111e-11
0.034, 1.34243e-11
0.035, -3.72957e-11
0.036, -1.52788e-11
0.037, 3.48293e-11
0.038, 1.31291e-11
0.039, -3.7465e-11
0.04, -1.54162e-11
0.041, 3.47339e-11
0.042, 1.30491e-11
0.043, -3.74962e-11
0.044, -1.54526e-11
0.045, 3.47163e-11
0.046, 1.3028e-11
0.047, -3.74862e-11
0.048, -1.5451e-11
0.049, 3.47297e-11
0.05, 1.30339e-11
0.051, -3.74678e-11
0.052, -1.54375e-11
0.053, 3.47482e-11
0.054, 1.30446e-11
0.055, -3.74458e-11
0.056, -1.54233e-11
0.057, 3.47734e-11
0.058, 1.30631e-11
0.059, -3.74115e-11
0.06, -1.53993e-11
0.061, 3.48032e-11
0.062, 1.30874e-11
0.063, -3.73848e-11
0.064, -1.53778e-11
0.065, 3.48297e-11
0.066, 1.31092e-11
0.067, -3.7362e-11
0.068, -1.53554e-11
0.069, 3.48562e-11
0.07, 1.3132e-11
0.071, -3.73354e-11
0.072, -1.53322e-11
0.073, 3.48827e-11
0.074, 1.31553e-11
0.075, -3.73088e-11
0.076, -1.53086e-11
0.077, 3.4913e-11
0.078, 1.31829e-11
0.079, -3.72746e-11
0.08, -1.52806e-11
0.081, 3.49394e-11
0.082, 1.32111e-11
0.083, -3.72481e-11
0.084, -1.52522e-11
0.085, 3.49696e-11
0.086, 1.32281e-11
0.087, -3.72218e-11
0.088, -1.52313e-11
0.089, 3.49922e-11
0.09, 1.32568e-11
0.091, -3.72031e-11
0.092, -1.52102e-11
0.093, 3.50147e-11
0.094, 1.32779e-11
0.095, -3.71728e-11
0.096, -1.51851e-11
0.097, 3.50411e-11
0.098, 1.33032e-11
0.099, -3.71465e-11
0.1, -1.51636e-11
0.101, 3.50636e-11
0.102, 1.33285e-11
0.103, -3.7124e-11
0.104, -1.51382e-11
0.105, 3.50937e-11
0.106, 1.3354e-11
0.107, -3.70977e-11
0.108, -1.51052e-11
0.109, 3.51202e-11
0.11, 1.33795e-11
0.111, -3.70638e-11
0.112, -1.50835e-11
0.113, 3.51464e-11
0.114, 1.34089e-11
0.115, -3.70413e-11
0.116, -1.50541e-11
0.117, 3.51766e-11
0.118, 1.34307e-11
0.119, -3.70151e-11
0.12, -1.50284e-11
0.121, 3.52028e-11
0.122, 1.34562e-11
0.123, -3.69849e-11
0.124, -1.50027e-11
0.125, 3.52328e-11
0.126, 1.34857e-11
0.127, -3.69663e-11
0.128, -1.49771e-11
0.129, 3.52552e-11
0.13, 1.35076e-11
0.131, -3.69362e-11
0.132, -1.49552e-11
0.133, 3.52777e-11
0.134, 1.35371e-11
0.135, -3.69061e-11
0.136, -1.49257e-11
0.137, 3.53077e-11
0.138, 1.35589e-11
0.139, -3.68799e-11
0.14, -1.49039e-11
0.141, 3.53341e-11
0.142, 1.35923e-11
0.143, -3.68537e-11
0.144, -1.48706e-11
0.145, 3.53642e-11
0.146, 1.36142e-11
0.147, -3.68236e-11
0.148, -1.48487e-11
0.149, 3.53904e-11
0.15, 1.36398e-11
0.151, -3.68049e-11
0.152, -1.4823e-11
0.153, 3.54128e-11
0.154, 1.36617e-11
0.155, -3.67749e-11
0.156, -1.47934e-11
0.157, 3.54351e-11
0.158, 1.36874e-11
0.159, -3.67487e-11
0.16, -1.47753e-11
0.161, 3.54652e-11
0.162, 1.3717e-11
0.163, -3.67263e-11
0.164, -1.47495e-11
0.165, 3.54875e-11
0.166, 1.37428e-11
0.167, -3.67002e-11
0.168, -1.47237e-11
0.169, 3.55136e-11
0.17, 1.37686e-11
0.171, -3.66741e-11
0.172, -1.46941e-11
0.173, 3.55398e-11
0.174, 1.37906e-11
0.175, -3.6644e-11
0.176, -1.46683e-11
0.177, 3.55736e-11
0.178, 1.3824e-11
0.179, -3.66179e-11
0.18, -1.46427e-11
0.181, 3.55998e-11
0.182, 1.38497e-11
0.183, -3.65878e-11
0.184, -1.46132e-11
0.185, 3.56299e-11
0.186, 1.38715e-11
0.187, -3.65655e-11
0.188, -1.45875e-11
0.189, 3.56523e-11
0.19, 1.3901e-11
0.191, -3.65355e-11
0.192, -1.45579e-11
0.193, 3.56785e-11
0.194, 1.39268e-11
0.195, -3.65171e-11
0.196, -1.4536e-11
0.197, 3.57008e-11
0.198, 1.39526e-11
