sim_time, my_robot/cart?world_pose/position/x
6.001, 1.5
6.002, 1.5
6.003, 1.5
6.004, 1.5
6.005, 1.5
6.006, 1.5
6.007, 1.5
6.008, 1.5
6.009, 1.5
6.01, 1.5
6.011, 1.5
6.012, 1.5
6.013, 1.5
6.014, 1.5
6.015, 1.5
6.016, 1.5
6.017, 1.5
6.018, 1.5
6.019, 1.5
6.02, 1.5
6.021, 1.5
6.022, 1.5
6.023, 1.5
6.024, 1.5
6.025, 1.5
6.026, 1.5
6.027, 1.5
6.028, 1.5
6.029, 1.5
6.03, 1.5
6.031, 1.5
6.032, 1.5
6.033, 1.5
6.034, 1.5
6.035, 1.5
6.036, 1.5
6.037, 1.5
6.038, 1.5
6.039, 1.5
6.04, 1.5
6.041, 1.5
6.042, 1.5
6.043, 1.5
6.044, 1.5
6.045, 1.5
6.046, 1.5
6.047, 1.5
6.048, 1.5
6.049, 1.5
6.05, 1.5
6.051, 1.5
6.052, 1.5
6.053, 1.5
6.054, 1.5
6.055, 1.5
6.056, 1.5
6.057, 1.5
6.058, 1.5
6.059, 1.5
6.06, 1.5
6.061, 1.5
6.062, 1.5
6.063, 1.5
6.064, 1.5
6.065, 1.5
6.066, 1.5
6.067, 1.5
6.068, 1.5
6.069, 1.5
6.07, 1.5
6.071, 1.5
6.072, 1.5
6.073, 1.5
6.074, 1.5
6.075, 1.5
6.076, 1.5
6.077, 1.5
6.078, 1.5
6.079, 1.5
6.08, 1.5
6.081, 1.5
6.082, 1.5
6.083, 1.5
6.084, 1.5
6.085, 1.5
6.086, 1.5
6.087, 1.5
6.088, 1.5
6.089, 1.5
6.09, 1.5
6.091, 1.5
6.092, 1.5
6.093, 1.5
6.094, 1.5
6.095, 1.5
6.096, 1.5
6.097, 1.5
6.098, 1.5
6.099, 1.5
6.1, 1.5
6.101, 1.5
6.102, 1.5
6.103, 1.5
6.104, 1.5
6.105, 1.5
6.106, 1.5
6.107, 1.5
6.108, 1.5
6.109, 1.5
6.11, 1.5
6.111, 1.5
6.112, 1.5
6.113, 1.5
6.114, 1.5
6.115, 1.5
6.116, 1.5
6.117, 1.5
6.118, 1.5
6.119, 1.5
6.12, 1.5
6.121, 1.5
6.122, 1.5
6.123, 1.5
6.124, 1.5
6.125, 1.5
6.126, 1.5
6.127, 1.5
6.128, 1.5
6.129, 1.5
6.13, 1.5
6.131, 1.5
6.132, 1.5
6.133, 1.5
6.134, 1.5
6.135, 1.5
6.136, 1.5
6.137, 1.5
6.138, 1.5
6.139, 1.5
6.14, 1.5
6.141, 1.5
6.142, 1.5
6.143, 1.5
6.144, 1.5
6.145, 1.5
6.146, 1.5
6.147, 1.5
6.148, 1.5
6.149, 1.5
6.15, 1.5
6.151, 1.5
6.152, 1.5
6.153, 1.5
6.154, 1.5
6.155, 1.5
6.156, 1.5
6.157, 1.5
6.158, 1.5
6.159, 1.5
6.16, 1.5
6.161, 1.5
6.162, 1.5
6.163, 1.5
6.164, 1.5
6.165, 1.5
6.166, 1.5
6.167, 1.5
6.168, 1.5
6.169, 1.5
6.17, 1.5
6.171, 1.5
6.172, 1.5
6.173, 1.5
6.174, 1.5
6.175, 1.5
6.176, 1.5
6.177, 1.5
6.178, 1.5
6.179, 1.5
6.18, 1.5
6.181, 1.5
6.182, 1.5
6.183, 1.5
6.184, 1.5
6.185, 1.5
6.186, 1.5
6.187, 1.5
6.188, 1.5
6.189, 1.5
6.19, 1.5
6.191, 1.5
6.192, 1.5
6.193, 1.5
6.194, 1.5
6.195, 1.5
6.196, 1.5
6.197, 1.5
6.198, 1.5
6.199, 1.5
6.2, 1.5
6.201, 1.5
6.202, 1.5
6.203, 1.5
6.204, 1.5
6.205, 1.5
6.206, 1.5
6.207, 1.5
6.208, 1.5
6.209, 1.5
6.21, 1.5
6.211, 1.5
6.212, 1.5
6.213, 1.5
6.214, 1.5
6.215, 1.5
6.216, 1.5
6.217, 1.5
6.218, 1.5
6.219, 1.5
6.22, 1.5
6.221, 1.5
6.222, 1.5
6.223, 1.5
6.224, 1.5
6.225, 1.5
6.226, 1.5
6.227, 1.5
6.228, 1.5
6.229, 1.5
6.23, 1.5
6.231, 1.5
6.232, 1.5
6.233, 1.5
6.234, 1.5
6.235, 1.5
6.236, 1.5
6.237, 1.5
6.238, 1.5
6.239, 1.5
6.24, 1.5
6.241, 1.5
6.242, 1.5
6.243, 1.5
6.244, 1.5
6.245, 1.5
6.246, 1.5
6.247, 1.5
6.248, 1.5
6.249, 1.5
6.25, 1.5
6.251, 1.5
6.252, 1.5
6.253, 1.5
6.254, 1.5
6.255, 1.5
6.256, 1.5
6.257, 1.5
6.258, 1.5
6.259, 1.5
6.26, 1.5
6.261, 1.5
6.262, 1.5
6.263, 1.5
6.264, 1.5
6.265, 1.5
6.266, 1.5
6.267, 1.5
6.268, 1.5
6.269, 1.5
6.27, 1.5
6.271, 1.5
6.272, 1.5
6.273, 1.5
6.274, 1.5
6.275, 1.5
6.276, 1.5
6.277, 1.5
6.278, 1.5
6.279, 1.5
6.28, 1.5
6.281, 1.5
6.282, 1.5
6.283, 1.5
6.284, 1.5
6.285, 1.5
6.286, 1.5
6.287, 1.5
6.288, 1.5
6.289, 1.5
6.29, 1.5
6.291, 1.5
6.292, 1.5
6.293, 1.5
6.294, 1.5
6.295, 1.5
6.296, 1.5
6.297, 1.5
6.298, 1.5
6.299, 1.5
6.3, 1.5
6.301, 1.5
6.302, 1.5
6.303, 1.5
6.304, 1.5
6.305, 1.5
6.306, 1.5
6.307, 1.5
6.308, 1.5
6.309, 1.5
6.31, 1.5
6.311, 1.5
6.312, 1.5
6.313, 1.5
6.314, 1.5
6.315, 1.5
6.316, 1.5
6.317, 1.5
6.318, 1.5
6.319, 1.5
6.32, 1.5
6.321, 1.5
6.322, 1.5
6.323, 1.5
6.324, 1.5
6.325, 1.5
6.326, 1.5
6.327, 1.5
6.328, 1.5
6.329, 1.5
6.33, 1.5
6.331, 1.5
6.332, 1.5
6.333, 1.5
6.334, 1.5
6.335, 1.5
6.336, 1.5
6.337, 1.5
6.338, 1.5
6.339, 1.5
6.34, 1.5
6.341, 1.5
6.342, 1.5
6.343, 1.5
6.344, 1.5
6.345, 1.5
6.346, 1.5
6.347, 1.5
6.348, 1.5
6.349, 1.5
6.35, 1.5
6.351, 1.5
6.352, 1.5
6.353, 1.5
6.354, 1.5
6.355, 1.5
6.356, 1.5
6.357, 1.5
6.358, 1.5
6.359, 1.5
6.36, 1.5
6.361, 1.5
6.362, 1.5
6.363, 1.5
6.364, 1.5
6.365, 1.5
6.366, 1.5
6.367, 1.5
6.368, 1.5
6.369, 1.5
6.37, 1.5
6.371, 1.5
6.372, 1.5
6.373, 1.5
6.374, 1.5
6.375, 1.5
6.376, 1.5
6.377, 1.5
6.378, 1.5
6.379, 1.5
6.38, 1.5
6.381, 1.5
6.382, 1.5
6.383, 1.5
6.384, 1.5
6.385, 1.5
6.386, 1.5
6.387, 1.5
6.388, 1.5
6.389, 1.5
6.39, 1.5
6.391, 1.5
6.392, 1.5
6.393, 1.5
6.394, 1.5
6.395, 1.5
6.396, 1.5
6.397, 1.5
6.398, 1.5
6.399, 1.5
6.4, 1.5
6.401, 1.5
6.402, 1.5
6.403, 1.5
6.404, 1.5
6.405, 1.5
6.406, 1.5
6.407, 1.5
6.408, 1.5
6.409, 1.5
6.41, 1.5
6.411, 1.5
6.412, 1.5
6.413, 1.5
6.414, 1.5
6.415, 1.5
6.416, 1.5
6.417, 1.5
6.418, 1.5
6.419, 1.5
6.42, 1.5
6.421, 1.5
6.422, 1.5
6.423, 1.5
6.424, 1.5
6.425, 1.5
6.426, 1.5
6.427, 1.5
6.428, 1.5
6.429, 1.5
6.43, 1.5
6.431, 1.5
6.432, 1.5
6.433, 1.5
6.434, 1.5
6.435, 1.5
6.436, 1.5
6.437, 1.5
6.438, 1.5
6.439, 1.5
6.44, 1.5
6.441, 1.5
6.442, 1.5
6.443, 1.5
6.444, 1.5
6.445, 1.5
6.446, 1.5
6.447, 1.5
6.448, 1.5
6.449, 1.5
6.45, 1.5
6.451, 1.5
6.452, 1.5
6.453, 1.5
6.454, 1.5
6.455, 1.5
6.456, 1.5
6.457, 1.5
6.458, 1.5
6.459, 1.5
6.46, 1.5
6.461, 1.5
6.462, 1.5
6.463, 1.5
6.464, 1.5
6.465, 1.5
6.466, 1.5
6.467, 1.5
6.468, 1.5
6.469, 1.5
6.47, 1.5
6.471, 1.5
6.472, 1.5
6.473, 1.5
6.474, 1.5
6.475, 1.5
6.476, 1.5
6.477, 1.5
6.478, 1.5
6.479, 1.5
6.48, 1.5
6.481, 1.5
6.482, 1.5
6.483, 1.5
6.484, 1.5
6.485, 1.5
6.486, 1.5
6.487, 1.5
6.488, 1.5
6.489, 1.5
6.49, 1.5
6.491, 1.5
6.492, 1.5
6.493, 1.5
6.494, 1.5
6.495, 1.5
6.496, 1.5
6.497, 1.5
6.498, 1.5
6.499, 1.5
6.5, 1.5
6.501, 1.5
6.502, 1.5
6.503, 1.5
6.504, 1.5
6.505, 1.5
6.506, 1.5
6.507, 1.5
6.508, 1.5
6.509, 1.5
6.51, 1.5
6.511, 1.5
6.512, 1.5
6.513, 1.5
6.514, 1.5
6.515, 1.5
6.516, 1.5
6.517, 1.5
6.518, 1.5
6.519, 1.5
6.52, 1.5
6.521, 1.5
6.522, 1.5
6.523, 1.5
6.524, 1.5
6.525, 1.5
6.526, 1.5
6.527, 1.5
6.528, 1.5
6.529, 1.5
6.53, 1.5
6.531, 1.5
6.532, 1.5
6.533, 1.5
6.534, 1.5
6.535, 1.5
6.536, 1.5
6.537, 1.5
6.538, 1.5
6.539, 1.5
6.54, 1.5
6.541, 1.5
6.542, 1.5
6.543, 1.5
6.544, 1.5
6.545, 1.5
6.546, 1.5
6.547, 1.5
6.548, 1.5
6.549, 1.5
6.55, 1.5
6.551, 1.5
6.552, 1.5
6.553, 1.5
6.554, 1.5
6.555, 1.5
6.556, 1.5
6.557, 1.5
6.558, 1.5
6.559, 1.5
6.56, 1.5
6.561, 1.5
6.562, 1.5
6.563, 1.5
6.564, 1.5
6.565, 1.5
6.566, 1.5
6.567, 1.5
6.568, 1.5
6.569, 1.5
6.57, 1.5
6.571, 1.5
6.572, 1.5
6.573, 1.5
6.574, 1.5
6.575, 1.5
6.576, 1.5
6.577, 1.5
6.578, 1.5
6.579, 1.5
6.58, 1.5
6.581, 1.5
6.582, 1.5
6.583, 1.5
6.584, 1.5
6.585, 1.5
6.586, 1.5
6.587, 1.5
6.588, 1.5
6.589, 1.5
6.59, 1.5
6.591, 1.5
6.592, 1.5
6.593, 1.5
6.594, 1.5
6.595, 1.5
6.596, 1.5
6.597, 1.5
6.598, 1.5
6.599, 1.5
6.6, 1.5
6.601, 1.5
6.602, 1.5
6.603, 1.5
6.604, 1.5
6.605, 1.5
6.606, 1.5
6.607, 1.5
6.608, 1.5
6.609, 1.5
6.61, 1.5
6.611, 1.5
6.612, 1.5
6.613, 1.5
6.614, 1.5
6.615, 1.5
6.616, 1.5
6.617, 1.5
6.618, 1.5
6.619, 1.5
6.62, 1.5
6.621, 1.5
6.622, 1.5
6.623, 1.5
6.624, 1.5
6.625, 1.5
6.626, 1.5
6.627, 1.5
6.628, 1.5
6.629, 1.5
6.63, 1.5
6.631, 1.5
6.632, 1.5
6.633, 1.5
6.634, 1.5
6.635, 1.5
6.636, 1.5
6.637, 1.5
6.638, 1.5
6.639, 1.5
6.64, 1.5
6.641, 1.5
6.642, 1.5
6.643, 1.5
6.644, 1.5
6.645, 1.5
6.646, 1.5
6.647, 1.5
6.648, 1.5
6.649, 1.5
6.65, 1.5
6.651, 1.5
6.652, 1.5
6.653, 1.5
6.654, 1.5
6.655, 1.5
6.656, 1.5
6.657, 1.5
6.658, 1.5
6.659, 1.5
6.66, 1.5
6.661, 1.5
6.662, 1.5
6.663, 1.5
6.664, 1.5
6.665, 1.5
6.666, 1.5
6.667, 1.5
6.668, 1.5
6.669, 1.5
6.67, 1.5
6.671, 1.5
6.672, 1.5
6.673, 1.5
6.674, 1.5
6.675, 1.5
6.676, 1.5
6.677, 1.5
6.678, 1.5
6.679, 1.5
6.68, 1.5
6.681, 1.5
6.682, 1.5
6.683, 1.5
6.684, 1.5
6.685, 1.5
6.686, 1.5
6.687, 1.5
6.688, 1.5
6.689, 1.5
6.69, 1.5
6.691, 1.5
6.692, 1.5
6.693, 1.5
6.694, 1.5
6.695, 1.5
6.696, 1.5
6.697, 1.5
6.698, 1.5
6.699, 1.5
6.7, 1.5
6.701, 1.5
6.702, 1.5
6.703, 1.5
6.704, 1.5
6.705, 1.5
6.706, 1.5
6.707, 1.5
6.708, 1.5
6.709, 1.5
6.71, 1.5
6.711, 1.5
6.712, 1.5
6.713, 1.5
6.714, 1.5
6.715, 1.5
6.716, 1.5
6.717, 1.5
6.718, 1.5
6.719, 1.5
6.72, 1.5
6.721, 1.5
6.722, 1.5
6.723, 1.5
6.724, 1.5
6.725, 1.5
6.726, 1.5
6.727, 1.5
6.728, 1.5
6.729, 1.5
6.73, 1.5
6.731, 1.5
6.732, 1.5
6.733, 1.5
6.734, 1.5
6.735, 1.5
6.736, 1.5
6.737, 1.5
6.738, 1.5
6.739, 1.5
6.74, 1.5
6.741, 1.5
6.742, 1.5
6.743, 1.5
6.744, 1.5
6.745, 1.5
6.746, 1.5
6.747, 1.5
6.748, 1.5
6.749, 1.5
6.75, 1.5
6.751, 1.5
6.752, 1.5
6.753, 1.5
6.754, 1.5
6.755, 1.5
6.756, 1.5
6.757, 1.5
6.758, 1.5
6.759, 1.5
6.76, 1.5
6.761, 1.5
6.762, 1.5
6.763, 1.5
6.764, 1.5
6.765, 1.5
6.766, 1.5
6.767, 1.5
6.768, 1.5
6.769, 1.5
6.77, 1.5
6.771, 1.5
6.772, 1.5
6.773, 1.5
6.774, 1.5
6.775, 1.5
6.776, 1.5
6.777, 1.5
6.778, 1.5
6.779, 1.5
6.78, 1.5
6.781, 1.5
6.782, 1.5
6.783, 1.5
6.784, 1.5
6.785, 1.5
6.786, 1.5
6.787, 1.5
6.788, 1.5
6.789, 1.5
6.79, 1.5
6.791, 1.5
6.792, 1.5
6.793, 1.5
6.794, 1.5
6.795, 1.5
6.796, 1.5
6.797, 1.5
6.798, 1.5
6.799, 1.5
6.8, 1.5
6.801, 1.5
6.802, 1.5
6.803, 1.5
6.804, 1.5
6.805, 1.5
6.806, 1.5
6.807, 1.5
6.808, 1.5
6.809, 1.5
6.81, 1.5
6.811, 1.5
6.812, 1.5
6.813, 1.5
6.814, 1.5
6.815, 1.5
6.816, 1.5
6.817, 1.5
6.818, 1.5
6.819, 1.5
6.82, 1.5
6.821, 1.5
6.822, 1.5
6.823, 1.5
6.824, 1.5
6.825, 1.5
6.826, 1.5
6.827, 1.5
6.828, 1.5
6.829, 1.5
6.83, 1.5
6.831, 1.5
6.832, 1.5
6.833, 1.5
6.834, 1.5
6.835, 1.5
6.836, 1.5
6.837, 1.5
6.838, 1.5
6.839, 1.5
6.84, 1.5
6.841, 1.5
6.842, 1.5
6.843, 1.5
6.844, 1.5
6.845, 1.5
6.846, 1.5
6.847, 1.5
6.848, 1.5
6.849, 1.5
6.85, 1.5
6.851, 1.5
6.852, 1.5
6.853, 1.5
6.854, 1.5
6.855, 1.5
6.856, 1.5
6.857, 1.5
6.858, 1.5
6.859, 1.5
6.86, 1.5
6.861, 1.5
6.862, 1.5
6.863, 1.5
6.864, 1.5
6.865, 1.5
6.866, 1.5
6.867, 1.5
6.868, 1.5
6.869, 1.5
6.87, 1.5
6.871, 1.5
6.872, 1.5
6.873, 1.5
6.874, 1.5
6.875, 1.5
6.876, 1.5
6.877, 1.5
6.878, 1.5
6.879, 1.5
6.88, 1.5
6.881, 1.5
6.882, 1.5
6.883, 1.5
6.884, 1.5
6.885, 1.5
6.886, 1.5
6.887, 1.5
6.888, 1.5
6.889, 1.5
6.89, 1.5
6.891, 1.5
6.892, 1.5
6.893, 1.5
6.894, 1.5
6.895, 1.5
6.896, 1.5
6.897, 1.5
6.898, 1.5
6.899, 1.5
6.9, 1.5
6.901, 1.5
6.902, 1.5
6.903, 1.5
6.904, 1.5
6.905, 1.5
6.906, 1.5
6.907, 1.5
6.908, 1.5
6.909, 1.5
6.91, 1.5
6.911, 1.5
6.912, 1.5
6.913, 1.5
6.914, 1.5
6.915, 1.5
6.916, 1.5
6.917, 1.5
6.918, 1.5
6.919, 1.5
6.92, 1.5
6.921, 1.5
6.922, 1.5
6.923, 1.5
6.924, 1.5
6.925, 1.5
6.926, 1.5
6.927, 1.5
6.928, 1.5
6.929, 1.5
6.93, 1.5
6.931, 1.5
6.932, 1.5
6.933, 1.5
6.934, 1.5
6.935, 1.5
6.936, 1.5
6.937, 1.5
6.938, 1.5
6.939, 1.5
6.94, 1.5
6.941, 1.5
6.942, 1.5
6.943, 1.5
6.944, 1.5
6.945, 1.5
6.946, 1.5
6.947, 1.5
6.948, 1.5
6.949, 1.5
6.95, 1.5
6.951, 1.5
6.952, 1.5
6.953, 1.5
6.954, 1.5
6.955, 1.5
6.956, 1.5
6.957, 1.5
6.958, 1.5
6.959, 1.5
6.96, 1.5
6.961, 1.5
6.962, 1.5
6.963, 1.5
6.964, 1.5
6.965, 1.5
6.966, 1.5
6.967, 1.5
6.968, 1.5
6.969, 1.5
6.97, 1.5
6.971, 1.5
6.972, 1.5
6.973, 1.5
6.974, 1.5
6.975, 1.5
6.976, 1.5
6.977, 1.5
6.978, 1.5
6.979, 1.5
6.98, 1.5
6.981, 1.5
6.982, 1.5
6.983, 1.5
6.984, 1.5
6.985, 1.5
6.986, 1.5
6.987, 1.5
6.988, 1.5
6.989, 1.5
6.99, 1.5
6.991, 1.5
6.992, 1.5
6.993, 1.5
6.994, 1.5
6.995, 1.5
6.996, 1.5
6.997, 1.5
6.998, 1.5
6.999, 1.5
7, 1.5
7.001, 1.5
7.002, 1.5
7.003, 1.5
7.004, 1.5
7.005, 1.5
7.006, 1.5
7.007, 1.5
7.008, 1.5
7.009, 1.5
7.01, 1.5
7.011, 1.5
7.012, 1.5
7.013, 1.5
7.014, 1.5
7.015, 1.5
7.016, 1.5
7.017, 1.5
7.018, 1.5
7.019, 1.5
7.02, 1.5
7.021, 1.5
7.022, 1.5
7.023, 1.5
7.024, 1.5
7.025, 1.5
7.026, 1.5
7.027, 1.5
7.028, 1.5
7.029, 1.5
7.03, 1.5
7.031, 1.5
7.032, 1.5
7.033, 1.5
7.034, 1.5
7.035, 1.5
7.036, 1.5
7.037, 1.5
7.038, 1.5
7.039, 1.5
7.04, 1.5
7.041, 1.5
7.042, 1.5
7.043, 1.5
7.044, 1.5
7.045, 1.5
7.046, 1.5
7.047, 1.5
7.048, 1.5
7.049, 1.5
7.05, 1.5
7.051, 1.5
7.052, 1.5
7.053, 1.5
7.054, 1.5
7.055, 1.5
7.056, 1.5
7.057, 1.5
7.058, 1.5
7.059, 1.5
7.06, 1.5
7.061, 1.5
7.062, 1.5
7.063, 1.5
7.064, 1.5
7.065, 1.5
7.066, 1.5
7.067, 1.5
7.068, 1.5
7.069, 1.5
7.07, 1.5
7.071, 1.5
7.072, 1.5
7.073, 1.5
7.074, 1.5
7.075, 1.5
7.076, 1.5
7.077, 1.5
7.078, 1.5
7.079, 1.5
7.08, 1.5
7.081, 1.5
7.082, 1.5
7.083, 1.5
7.084, 1.5
7.085, 1.5
7.086, 1.5
7.087, 1.5
7.088, 1.5
7.089, 1.5
7.09, 1.5
7.091, 1.5
7.092, 1.5
7.093, 1.5
7.094, 1.5
7.095, 1.5
7.096, 1.5
7.097, 1.5
7.098, 1.5
7.099, 1.5
7.1, 1.5
7.101, 1.5
7.102, 1.5
7.103, 1.5
7.104, 1.5
7.105, 1.5
7.106, 1.5
7.107, 1.5
7.108, 1.5
7.109, 1.5
7.11, 1.5
7.111, 1.5
7.112, 1.5
7.113, 1.5
7.114, 1.5
7.115, 1.5
7.116, 1.5
7.117, 1.5
7.118, 1.5
7.119, 1.5
7.12, 1.5
7.121, 1.5
7.122, 1.5
7.123, 1.5
7.124, 1.5
7.125, 1.5
7.126, 1.5
7.127, 1.5
7.128, 1.5
7.129, 1.5
7.13, 1.5
7.131, 1.5
7.132, 1.5
7.133, 1.5
7.134, 1.5
7.135, 1.5
7.136, 1.5
7.137, 1.5
7.138, 1.5
7.139, 1.5
7.14, 1.5
7.141, 1.5
7.142, 1.5
7.143, 1.5
7.144, 1.5
7.145, 1.5
7.146, 1.5
7.147, 1.5
7.148, 1.5
7.149, 1.5
7.15, 1.5
7.151, 1.5
7.152, 1.5
7.153, 1.5
7.154, 1.5
7.155, 1.5
7.156, 1.5
7.157, 1.5
7.158, 1.5
7.159, 1.5
7.16, 1.5
7.161, 1.5
7.162, 1.5
7.163, 1.5
7.164, 1.5
7.165, 1.5
7.166, 1.5
7.167, 1.5
7.168, 1.5
7.169, 1.5
7.17, 1.5
7.171, 1.5
7.172, 1.5
7.173, 1.5
7.174, 1.5
7.175, 1.5
7.176, 1.5
7.177, 1.5
7.178, 1.5
7.179, 1.5
7.18, 1.5
7.181, 1.5
7.182, 1.5
7.183, 1.5
7.184, 1.5
7.185, 1.5
7.186, 1.5
7.187, 1.5
7.188, 1.5
7.189, 1.5
7.19, 1.5
7.191, 1.5
7.192, 1.5
7.193, 1.5
7.194, 1.5
7.195, 1.5
7.196, 1.5
7.197, 1.5
7.198, 1.5
7.199, 1.5
7.2, 1.5
7.201, 1.5
7.202, 1.5
