sim_time, my_robot/cart?world_pose/position/x_1
0.001, 1.5
0.002, 1.5
0.003, 1.5
0.004, 1.5
0.005, 1.5
0.006, 1.5
0.007, 1.5
0.008, 1.5
0.009, 1.5
0.01, 1.5
0.011, 1.5
0.012, 1.5
0.013, 1.5
0.014, 1.5
0.015, 1.5
0.016, 1.5
0.017, 1.5
0.018, 1.5
0.019, 1.5
0.02, 1.5
0.021, 1.5
0.022, 1.5
0.023, 1.5
0.024, 1.5
0.025, 1.5
0.026, 1.5
0.027, 1.5
0.028, 1.5
0.029, 1.5
0.03, 1.5
0.031, 1.5
0.032, 1.5
0.033, 1.5
0.034, 1.5
0.035, 1.5
0.036, 1.5
0.037, 1.5
0.038, 1.5
0.039, 1.5
0.04, 1.5
0.041, 1.5
0.042, 1.5
0.043, 1.5
0.044, 1.5
0.045, 1.5
0.046, 1.5
0.047, 1.5
0.048, 1.5
0.049, 1.5
0.05, 1.5
0.051, 1.5
0.052, 1.5
0.053, 1.5
0.054, 1.5
0.055, 1.5
0.056, 1.5
0.057, 1.5
0.058, 1.5
0.059, 1.5
0.06, 1.5
0.061, 1.5
0.062, 1.5
0.063, 1.5
0.064, 1.5
0.065, 1.5
0.066, 1.5
0.067, 1.5
0.068, 1.5
0.069, 1.5
0.07, 1.5
0.071, 1.5
0.072, 1.5
0.073, 1.5
0.074, 1.5
0.075, 1.5
0.076, 1.5
0.077, 1.5
0.078, 1.5
0.079, 1.5
0.08, 1.5
0.081, 1.5
0.082, 1.5
0.083, 1.5
0.084, 1.5
0.085, 1.5
0.086, 1.5
0.087, 1.5
0.088, 1.5
0.089, 1.5
0.09, 1.5
0.091, 1.5
0.092, 1.5
0.093, 1.5
0.094, 1.5
0.095, 1.5
0.096, 1.5
0.097, 1.5
0.098, 1.5
0.099, 1.5
0.1, 1.5
0.101, 1.5
0.102, 1.5
0.103, 1.5
0.104, 1.5
0.105, 1.5
0.106, 1.5
0.107, 1.5
0.108, 1.5
0.109, 1.5
0.11, 1.5
0.111, 1.5
0.112, 1.5
0.113, 1.5
0.114, 1.5
0.115, 1.5
0.116, 1.5
0.117, 1.5
0.118, 1.5
0.119, 1.5
0.12, 1.5
0.121, 1.5
0.122, 1.5
0.123, 1.5
0.124, 1.5
0.125, 1.5
0.126, 1.5
0.127, 1.5
0.128, 1.5
0.129, 1.5
0.13, 1.5
0.131, 1.5
0.132, 1.5
0.133, 1.5
0.134, 1.5
0.135, 1.5
0.136, 1.5
0.137, 1.5
0.138, 1.5
0.139, 1.5
0.14, 1.5
0.141, 1.5
0.142, 1.5
0.143, 1.5
0.144, 1.5
0.145, 1.5
0.146, 1.5
0.147, 1.5
0.148, 1.5
0.149, 1.5
0.15, 1.5
0.151, 1.5
0.152, 1.5
0.153, 1.5
0.154, 1.5
0.155, 1.5
0.156, 1.5
0.157, 1.5
0.158, 1.5
0.159, 1.5
0.16, 1.5
0.161, 1.5
0.162, 1.5
0.163, 1.5
0.164, 1.5
0.165, 1.5
0.166, 1.5
0.167, 1.5
0.168, 1.5
0.169, 1.5
0.17, 1.5
0.171, 1.5
0.172, 1.5
0.173, 1.5
0.174, 1.5
0.175, 1.5
0.176, 1.5
0.177, 1.5
0.178, 1.5
0.179, 1.5
0.18, 1.5
0.181, 1.5
0.182, 1.5
0.183, 1.5
0.184, 1.5
0.185, 1.5
0.186, 1.5
0.187, 1.5
0.188, 1.5
0.189, 1.5
0.19, 1.5
0.191, 1.5
0.192, 1.5
0.193, 1.5
0.194, 1.5
0.195, 1.5
0.196, 1.5
0.197, 1.5
0.198, 1.5
0.199, 1.5
0.2, 1.5
0.201, 1.5
0.202, 1.5
0.203, 1.5
0.204, 1.5
0.205, 1.5
0.206, 1.5
0.207, 1.5
0.208, 1.5
0.209, 1.5
0.21, 1.5
0.211, 1.5
0.212, 1.5
0.213, 1.5
0.214, 1.5
0.215, 1.5
0.216, 1.5
0.217, 1.5
0.218, 1.5
0.219, 1.5
0.22, 1.5
0.221, 1.5
0.222, 1.5
0.223, 1.5
0.224, 1.5
0.225, 1.5
0.226, 1.5
0.227, 1.5
0.228, 1.5
0.229, 1.5
0.23, 1.5
0.231, 1.5
0.232, 1.5
0.233, 1.5
0.234, 1.5
0.235, 1.5
0.236, 1.5
0.237, 1.5
0.238, 1.5
0.239, 1.5
0.24, 1.5
0.241, 1.5
0.242, 1.5
0.243, 1.5
0.244, 1.5
0.245, 1.5
0.246, 1.5
0.247, 1.5
0.248, 1.5
0.249, 1.5
0.25, 1.5
0.251, 1.5
0.252, 1.5
0.253, 1.5
0.254, 1.5
0.255, 1.5
0.256, 1.5
0.257, 1.5
0.258, 1.5
0.259, 1.5
0.26, 1.5
0.261, 1.5
0.262, 1.5
0.263, 1.5
0.264, 1.5
0.265, 1.5
0.266, 1.5
0.267, 1.5
0.268, 1.5
0.269, 1.5
0.27, 1.5
0.271, 1.5
0.272, 1.5
0.273, 1.5
0.274, 1.5
0.275, 1.5
0.276, 1.5
0.277, 1.5
0.278, 1.5
0.279, 1.5
0.28, 1.5
0.281, 1.5
0.282, 1.5
0.283, 1.5
0.284, 1.5
0.285, 1.5
0.286, 1.5
0.287, 1.5
0.288, 1.5
0.289, 1.5
0.29, 1.5
0.291, 1.5
0.292, 1.5
0.293, 1.5
0.294, 1.5
0.295, 1.5
0.296, 1.5
0.297, 1.5
0.298, 1.5
0.299, 1.5
0.3, 1.5
0.301, 1.5
0.302, 1.5
0.303, 1.5
0.304, 1.5
0.305, 1.5
0.306, 1.5
0.307, 1.5
0.308, 1.5
0.309, 1.5
0.31, 1.5
0.311, 1.5
0.312, 1.5
0.313, 1.5
0.314, 1.5
0.315, 1.5
0.316, 1.5
0.317, 1.5
0.318, 1.5
0.319, 1.5
0.32, 1.5
0.321, 1.5
0.322, 1.5
0.323, 1.5
0.324, 1.5
0.325, 1.5
0.326, 1.5
0.327, 1.5
0.328, 1.5
0.329, 1.5
0.33, 1.5
0.331, 1.5
0.332, 1.5
0.333, 1.5
0.334, 1.5
0.335, 1.5
0.336, 1.5
0.337, 1.5
0.338, 1.5
0.339, 1.5
0.34, 1.5
0.341, 1.5
0.342, 1.5
0.343, 1.5
0.344, 1.5
0.345, 1.5
0.346, 1.5
0.347, 1.5
0.348, 1.5
0.349, 1.5
0.35, 1.5
0.351, 1.5
0.352, 1.5
0.353, 1.5
0.354, 1.5
0.355, 1.5
0.356, 1.5
0.357, 1.5
0.358, 1.5
0.359, 1.5
0.36, 1.5
0.361, 1.5
0.362, 1.5
0.363, 1.5
0.364, 1.5
0.365, 1.5
0.366, 1.5
0.367, 1.5
0.368, 1.5
0.369, 1.5
0.37, 1.5
0.371, 1.5
0.372, 1.5
0.373, 1.5
0.374, 1.5
0.375, 1.5
0.376, 1.5
0.377, 1.5
0.378, 1.5
0.379, 1.5
0.38, 1.5
0.381, 1.5
0.382, 1.5
0.383, 1.5
0.384, 1.5
0.385, 1.5
0.386, 1.5
0.387, 1.5
0.388, 1.5
0.389, 1.5
0.39, 1.5
0.391, 1.5
0.392, 1.5
0.393, 1.5
0.394, 1.5
0.395, 1.5
0.396, 1.5
0.397, 1.5
0.398, 1.5
0.399, 1.5
0.4, 1.5
0.401, 1.5
