sim_time, my_robot/rail_cart_joint?0/position
6.001, -2.21711e-09
6.002, -2.19994e-09
6.003, -2.20472e-09
6.004, -2.23066e-09
6.005, -2.23465e-09
6.006, -2.21751e-09
6.007, -2.22233e-09
6.008, -2.2483e-09
6.009, -2.25233e-09
6.01, -2.23523e-09
6.011, -2.24008e-09
6.012, -2.26608e-09
6.013, -2.27015e-09
6.014, -2.25308e-09
6.015, -2.25796e-09
6.016, -2.284e-09
6.017, -2.2881e-09
6.018, -2.27106e-09
6.019, -2.27598e-09
6.02, -2.30206e-09
6.021, -2.30619e-09
6.022, -2.28919e-09
6.023, -2.29414e-09
6.024, -2.32025e-09
6.025, -2.32442e-09
6.026, -2.30745e-09
6.027, -2.31244e-09
6.028, -2.33859e-09
6.029, -2.34279e-09
6.03, -2.32586e-09
6.031, -2.33089e-09
6.032, -2.35707e-09
6.033, -2.3613e-09
6.034, -2.34441e-09
6.035, -2.34947e-09
6.036, -2.37569e-09
6.037, -2.37996e-09
6.038, -2.3631e-09
6.039, -2.3682e-09
6.04, -2.39445e-09
6.041, -2.39876e-09
6.042, -2.38193e-09
6.043, -2.38707e-09
6.044, -2.41336e-09
6.045, -2.4177e-09
6.046, -2.40091e-09
6.047, -2.40608e-09
6.048, -2.43241e-09
6.049, -2.43679e-09
6.05, -2.42004e-09
6.051, -2.42525e-09
6.052, -2.45161e-09
6.053, -2.45603e-09
6.054, -2.43931e-09
6.055, -2.44456e-09
6.056, -2.47096e-09
6.057, -2.47541e-09
6.058, -2.45874e-09
6.059, -2.46402e-09
6.06, -2.49045e-09
6.061, -2.49495e-09
6.062, -2.47831e-09
6.063, -2.48363e-09
6.064, -2.5101e-09
6.065, -2.51463e-09
6.066, -2.49803e-09
6.067, -2.50339e-09
6.068, -2.5299e-09
6.069, -2.53447e-09
6.07, -2.51791e-09
6.071, -2.5233e-09
6.072, -2.54985e-09
6.073, -2.55446e-09
6.074, -2.53793e-09
6.075, -2.54337e-09
6.076, -2.56995e-09
6.077, -2.5746e-09
6.078, -2.55812e-09
6.079, -2.56359e-09
6.08, -2.59021e-09
6.081, -2.5949e-09
6.082, -2.57845e-09
6.083, -2.58396e-09
6.084, -2.61063e-09
6.085, -2.61535e-09
6.086, -2.59895e-09
6.087, -2.6045e-09
6.088, -2.6312e-09
6.089, -2.63597e-09
