sim_time, my_robot/rail_cart_joint?0/position_1
0.001, -1.41911e-11
0.002, 5.02509e-12
0.003, 1.92602e-12
0.004, -1.81257e-11
0.005, -1.63292e-11
0.006, 7.05369e-12
0.007, 8.10507e-12
0.008, -1.26879e-11
0.009, -1.15792e-11
0.01, 1.05556e-11
0.011, 1.04585e-11
0.012, -1.10214e-11
0.013, -1.05151e-11
0.014, 1.11609e-11
0.015, 1.08247e-11
0.016, -1.07401e-11
0.017, -1.03171e-11
0.018, 1.12621e-11
0.019, 1.08735e-11
0.02, -1.07037e-11
0.021, -1.0308e-11
0.022, 1.12321e-11
0.023, 1.0822e-11
0.024, -1.07561e-11
0.025, -1.0367e-11
0.026, 1.1162e-11
0.027, 1.07478e-11
0.028, -1.08253e-11
0.029, -1.04345e-11
0.03, 1.10933e-11
0.031, 1.06799e-11
0.032, -1.08884e-11
0.033, -1.04954e-11
0.034, 1.10338e-11
0.035, 1.06224e-11
0.036, -1.09421e-11
0.037, -1.05467e-11
0.038, 1.0985e-11
0.039, 1.05753e-11
0.04, -1.09863e-11
0.041, -1.05886e-11
0.042, 1.0945e-11
0.043, 1.05371e-11
0.044, -1.10223e-11
0.045, -1.06233e-11
0.046, 1.09119e-11
0.047, 1.05054e-11
0.048, -1.10523e-11
0.049, -1.06515e-11
0.05, 1.08853e-11
0.051, 1.04798e-11
0.052, -1.10763e-11
0.053, -1.06748e-11
0.054, 1.08633e-11
0.055, 1.04585e-11
0.056, -1.10965e-11
0.057, -1.06941e-11
0.058, 1.08449e-11
0.059, 1.0441e-11
0.06, -1.11133e-11
0.061, -1.07105e-11
0.062, 1.08293e-11
0.063, 1.04263e-11
0.064, -1.11273e-11
0.065, -1.07239e-11
0.066, 1.08162e-11
0.067, 1.04137e-11
0.068, -1.11395e-11
0.069, -1.07356e-11
0.07, 1.08049e-11
0.071, 1.04026e-11
0.072, -1.115e-11
0.073, -1.07461e-11
0.074, 1.07949e-11
0.075, 1.03928e-11
0.076, -1.11593e-11
0.077, -1.07552e-11
0.078, 1.07863e-11
0.079, 1.03841e-11
0.08, -1.11677e-11
0.081, -1.07634e-11
0.082, 1.07785e-11
0.083, 1.03766e-11
0.084, -1.11751e-11
0.085, -1.07703e-11
0.086, 1.07716e-11
0.087, 1.03697e-11
0.088, -1.11815e-11
0.089, -1.07767e-11
0.09, 1.07656e-11
0.091, 1.03637e-11
0.092, -1.11875e-11
0.093, -1.07827e-11
0.094, 1.07598e-11
0.095, 1.03582e-11
0.096, -1.11928e-11
0.097, -1.07878e-11
0.098, 1.07547e-11
0.099, 1.03533e-11
0.1, -1.11977e-11
0.101, -1.07927e-11
0.102, 1.07501e-11
0.103, 1.03486e-11
0.104, -1.12022e-11
0.105, -1.07971e-11
0.106, 1.07456e-11
0.107, 1.03442e-11
0.108, -1.12066e-11
0.109, -1.08016e-11
0.11, 1.07412e-11
0.111, 1.03397e-11
0.112, -1.1211e-11
0.113, -1.0806e-11
0.114, 1.0737e-11
0.115, 1.03355e-11
