sim_time, my_robot/rail_cart_joint?0/velocity
6.001, -3.92188e-09
6.002, 1.33316e-08
6.003, -4.82311e-09
6.004, -2.20964e-08
6.005, -3.95553e-09
6.006, 1.32979e-08
6.007, -4.8569e-09
6.008, -2.21302e-08
6.009, -3.98945e-09
6.01, 1.32639e-08
6.011, -4.89094e-09
6.012, -2.21643e-08
6.013, -4.02363e-09
6.014, 1.32297e-08
6.015, -4.92525e-09
6.016, -2.21987e-08
6.017, -4.05806e-09
6.018, 1.31952e-08
6.019, -4.95981e-09
6.02, -2.22333e-08
6.021, -4.09276e-09
6.022, 1.31604e-08
6.023, -4.99465e-09
6.024, -2.22682e-08
6.025, -4.12772e-09
6.026, 1.31254e-08
6.027, -5.02975e-09
6.028, -2.23034e-08
6.029, -4.16296e-09
6.03, 1.30901e-08
6.031, -5.06511e-09
6.032, -2.23388e-08
6.033, -4.19846e-09
6.034, 1.30545e-08
6.035, -5.10075e-09
6.036, -2.23745e-08
6.037, -4.23424e-09
6.038, 1.30187e-08
6.039, -5.13667e-09
6.04, -2.24105e-08
6.041, -4.27028e-09
6.042, 1.29825e-08
6.043, -5.17285e-09
6.044, -2.24468e-08
6.045, -4.30661e-09
6.046, 1.29462e-08
6.047, -5.20932e-09
6.048, -2.24833e-08
6.049, -4.34322e-09
6.05, 1.29095e-08
6.051, -5.24607e-09
6.052, -2.25201e-08
6.053, -4.3801e-09
6.054, 1.28725e-08
6.055, -5.28309e-09
6.056, -2.25572e-08
6.057, -4.41727e-09
6.058, 1.28353e-08
6.059, -5.3204e-09
6.06, -2.25946e-08
6.061, -4.45472e-09
6.062, 1.27978e-08
6.063, -5.358e-09
6.064, -2.26323e-08
6.065, -4.49246e-09
6.066, 1.27599e-08
6.067, -5.39588e-09
6.068, -2.26702e-08
6.069, -4.53049e-09
6.07, 1.27219e-08
6.071, -5.43405e-09
6.072, -2.27085e-08
6.073, -4.56881e-09
6.074, 1.26835e-08
6.075, -5.47252e-09
6.076, -2.2747e-08
6.077, -4.60742e-09
6.078, 1.26448e-08
6.079, -5.51128e-09
6.08, -2.27858e-08
6.081, -4.64634e-09
6.082, 1.26058e-08
6.083, -5.55034e-09
6.084, -2.2825e-08
6.085, -4.68554e-09
6.086, 1.25665e-08
6.087, -5.5897e-09
6.088, -2.28644e-08
6.089, -4.72504e-09
6.09, 1.25269e-08
6.091, -5.62935e-09
6.092, -2.29041e-08
6.093, -4.76485e-09
6.094, 1.2487e-08
6.095, -5.66931e-09
6.096, -2.29442e-08
6.097, -4.80496e-09
6.098, 1.24468e-08
6.099, -5.70957e-09
6.1, -2.29845e-08
6.101, -4.84539e-09
6.102, 1.24063e-08
6.103, -5.75015e-09
6.104, -2.30252e-08
6.105, -4.88612e-09
6.106, 1.23655e-08
6.107, -5.79104e-09
6.108, -2.30661e-08
6.109, -4.92717e-09
6.11, 1.23244e-08
6.111, -5.83224e-09
6.112, -2.31074e-08
6.113, -4.96852e-09
6.114, 1.2283e-08
6.115, -5.87376e-09
6.116, -2.3149e-08
6.117, -5.01019e-09
6.118, 1.22412e-08
6.119, -5.91559e-09
6.12, -2.31909e-08
6.121, -5.05218e-09
6.122, 1.21992e-08
6.123, -5.95774e-09
6.124, -2.32332e-08
6.125, -5.09451e-09
6.126, 1.21568e-08
6.127, -6.00022e-09
6.128, -2.32757e-08
6.129, -5.13715e-09
6.13, 1.2114e-08
6.131, -6.04302e-09
6.132, -2.33186e-08
6.133, -5.18011e-09
6.134, 1.2071e-08
6.135, -6.08615e-09
6.136, -2.33618e-08
6.137, -5.2234e-09
6.138, 1.20276e-08
6.139, -6.12962e-09
6.14, -2.34054e-08
6.141, -5.26703e-09
6.142, 1.19839e-08
6.143, -6.17341e-09
6.144, -2.34492e-08
6.145, -5.31099e-09
6.146, 1.19399e-08
6.147, -6.21753e-09
6.148, -2.34934e-08
6.149, -5.35528e-09
6.15, 1.18955e-08
6.151, -6.262e-09
6.152, -2.3538e-08
6.153, -5.39992e-09
6.154, 1.18508e-08
6.155, -6.30681e-09
6.156, -2.35829e-08
6.157, -5.4449e-09
6.158, 1.18057e-08
6.159, -6.35196e-09
6.16, -2.36281e-08
6.161, -5.49022e-09
6.162, 1.17603e-08
6.163, -6.39745e-09
6.164, -2.36737e-08
6.165, -5.53589e-09
6.166, 1.17145e-08
6.167, -6.44329e-09
6.168, -2.37196e-08
6.169, -5.58191e-09
6.17, 1.16684e-08
6.171, -6.48949e-09
6.172, -2.37659e-08
6.173, -5.62828e-09
6.174, 1.1622e-08
6.175, -6.53604e-09
6.176, -2.38126e-08
6.177, -5.67501e-09
6.178, 1.15751e-08
6.179, -6.58294e-09
6.18, -2.38596e-08
6.181, -5.7221e-09
6.182, 1.1528e-08
6.183, -6.63021e-09
6.184, -2.39069e-08
6.185, -5.76954e-09
6.186, 1.14804e-08
6.187, -6.67784e-09
6.188, -2.39546e-08
6.189, -5.81735e-09
6.19, 1.14325e-08
6.191, -6.72583e-09
6.192, -2.40027e-08
6.193, -5.86553e-09
6.194, 1.13843e-08
6.195, -6.77419e-09
6.196, -2.40512e-08
6.197, -5.91407e-09
6.198, 1.13356e-08
6.199, -6.82292e-09
6.2, -2.41e-08
6.201, -5.96299e-09
6.202, 1.12866e-08
6.203, -6.87203e-09
6.204, -2.41492e-08
6.205, -6.01228e-09
6.206, 1.12372e-08
6.207, -6.92151e-09
6.208, -2.41988e-08
6.209, -6.06195e-09
6.21, 1.11875e-08
6.211, -6.97136e-09
6.212, -2.42487e-08
6.213, -6.11199e-09
6.214, 1.11373e-08
6.215, -7.02159e-09
6.216, -2.4299e-08
6.217, -6.16242e-09
6.218, 1.10868e-08
6.219, -7.07222e-09
6.22, -2.43498e-08
6.221, -6.21324e-09
6.222, 1.10359e-08
6.223, -7.12323e-09
6.224, -2.44009e-08
6.225, -6.26445e-09
6.226, 1.09846e-08
6.227, -7.17464e-09
6.228, -2.44524e-08
6.229, -6.31605e-09
6.23, 1.09329e-08
6.231, -7.22643e-09
6.232, -2.45043e-08
6.233, -6.36804e-09
6.234, 1.08808e-08
6.235, -7.27863e-09
6.236, -2.45566e-08
6.237, -6.42043e-09
6.238, 1.08283e-08
6.239, -7.33121e-09
