sim_time, my_robot/rail_cart_joint?0/velocity_1
0.001, -8.07111e-09
0.002, 1.87915e-08
0.003, -1.65105e-09
0.004, -1.59499e-08
0.005, 1.99616e-09
0.006, 1.95392e-08
0.007, 1.00334e-09
0.008, -1.69022e-08
0.009, 1.14993e-09
0.01, 1.82672e-08
0.011, -1.41701e-10
0.012, -1.762e-08
0.013, 5.48218e-10
0.014, 1.78232e-08
0.015, -3.78972e-10
0.016, -1.77149e-08
0.017, 4.63385e-10
0.018, 1.7733e-08
0.019, -4.29714e-10
0.02, -1.7732e-08
0.021, 4.35224e-10
0.022, 1.76967e-08
0.023, -4.50238e-10
0.024, -1.77352e-08
0.025, 4.28338e-10
0.026, 1.76869e-08
0.027, -4.53821e-10
0.028, -1.77312e-08
0.029, 4.29582e-10
0.03, 1.76863e-08
0.031, -4.52714e-10
0.032, -1.77268e-08
0.033, 4.32095e-10
0.034, 1.76881e-08
0.035, -4.50694e-10
0.036, -1.77232e-08
0.037, 4.34509e-10
0.038, 1.76903e-08
0.039, -4.48695e-10
0.04, -1.77204e-08
0.041, 4.36542e-10
0.042, 1.76923e-08
0.043, -4.46956e-10
0.044, -1.77182e-08
0.045, 4.38182e-10
0.046, 1.76941e-08
0.047, -4.45545e-10
0.048, -1.77164e-08
0.049, 4.39479e-10
0.05, 1.76955e-08
0.051, -4.44426e-10
0.052, -1.77151e-08
0.053, 4.4049e-10
0.054, 1.76967e-08
0.055, -4.43529e-10
0.056, -1.7714e-08
0.057, 4.41294e-10
0.058, 1.76976e-08
0.059, -4.42817e-10
0.06, -1.77131e-08
0.061, 4.41924e-10
0.062, 1.76984e-08
0.063, -4.42265e-10
0.064, -1.77124e-08
0.065, 4.4241e-10
0.066, 1.7699e-08
0.067, -4.41826e-10
0.068, -1.77119e-08
0.069, 4.42803e-10
0.07, 1.76995e-08
0.071, -4.41478e-10
0.072, -1.77114e-08
0.073, 4.43115e-10
0.074, 1.76999e-08
0.075, -4.41203e-10
0.076, -1.77111e-08
0.077, 4.43358e-10
0.078, 1.77003e-08
0.079, -4.40974e-10
0.08, -1.77107e-08
0.081, 4.43554e-10
0.082, 1.77005e-08
0.083, -4.4082e-10
0.084, -1.77105e-08
0.085, 4.43695e-10
0.086, 1.77007e-08
0.087, -4.40691e-10
